/var/spool/slurm/slurmd/job780239/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: LOADER_PSAo_1
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D_psao
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33267776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 0/1189] [ loss: 1.472000 ] ETA: 2 days, 3:23:23.381729
[Epoch 0/100] [Batch 1/1189] [ loss: 8.475925 ] ETA: 1 day, 16:21:32.268000
[Epoch 0/100] [Batch 2/1189] [ loss: 11.073659 ] ETA: 1 day, 16:11:50.404336
[Epoch 0/100] [Batch 3/1189] [ loss: 14.869041 ] ETA: 1 day, 15:44:32.360111
[Epoch 0/100] [Batch 4/1189] [ loss: 4.398846 ] ETA: 1 day, 12:49:09.736816
[Epoch 0/100] [Batch 5/1189] [ loss: 2.212811 ] ETA: 1 day, 11:46:55.805001
[Epoch 0/100] [Batch 6/1189] [ loss: 1.472482 ] ETA: 1 day, 19:06:53.399361
[Epoch 0/100] [Batch 7/1189] [ loss: 14.027939 ] ETA: 1 day, 17:58:20.633128
[Epoch 0/100] [Batch 8/1189] [ loss: 3.282827 ] ETA: 1 day, 10:15:02.845624
[Epoch 0/100] [Batch 9/1189] [ loss: 1.981533 ] ETA: 1 day, 17:30:03.407945
[Epoch 0/100] [Batch 10/1189] [ loss: 14.551257 ] ETA: 1 day, 15:44:05.427132
[Epoch 0/100] [Batch 11/1189] [ loss: 3.530800 ] ETA: 1 day, 19:37:52.959513
[Epoch 0/100] [Batch 12/1189] [ loss: 5.426558 ] ETA: 1 day, 23:41:02.226009
[Epoch 0/100] [Batch 13/1189] [ loss: 1.510596 ] ETA: 1 day, 17:55:09.814860
[Epoch 0/100] [Batch 14/1189] [ loss: 6.244781 ] ETA: 1 day, 8:43:19.323529
[Epoch 0/100] [Batch 15/1189] [ loss: 3.031469 ] ETA: 1 day, 17:20:27.988185
[Epoch 0/100] [Batch 16/1189] [ loss: 8.665586 ] ETA: 1 day, 11:59:43.379731
[Epoch 0/100] [Batch 17/1189] [ loss: 8.601196 ] ETA: 1 day, 19:12:45.922760
[Epoch 0/100] [Batch 18/1189] [ loss: 6.367375 ] ETA: 2 days, 3:50:34.471653
[Epoch 0/100] [Batch 19/1189] [ loss: 3.009502 ] ETA: 1 day, 13:21:18.252821
[Epoch 0/100] [Batch 20/1189] [ loss: 2.461568 ] ETA: 2 days, 6:37:28.017349
[Epoch 0/100] [Batch 21/1189] [ loss: 2.551865 ] ETA: 1 day, 9:31:06.165486
[Epoch 0/100] [Batch 22/1189] [ loss: 1.924593 ] ETA: 2 days, 5:53:39.832664
[Epoch 0/100] [Batch 23/1189] [ loss: 8.511099 ] ETA: 2 days, 2:11:22.522671
[Epoch 0/100] [Batch 24/1189] [ loss: 12.180059 ] ETA: 1 day, 14:06:06.640765
